"Car_brand","Car_model","Mileage","Year","Transmission","Location","Fuel","Engine_Size (cc)","Price (£)","Car Type"
"VW","Touran",47062,"2021","Automatic","Manchester","Diesel",2000,17430,NA
"VW","Golf VII",38788,"2019","Automatic","Manchester","Petrol",2000,21101,NA
"Kia","Niro",34725,"2021","Automatic","Staffordshire","Hybrid",1600,17288,NA
"Mercedes","GLC250 GLC",50664,"2018","Automatic","West Yorkshire","Diesel",2100,19199,NA
"BMW","X4",46032,"2020","Automatic","Manchester","Petrol",3000,29328,NA
"Citroën","C3 Aircross",31145,"2020","Automatic","Hampshire","Petrol",1200,12072,NA
"BMW","330e 3 SeriesM Sport Step",42100,"2020","Automatic","Northamptonshire","Hybrid",2000,18966,NA
"BMW","X3 M Sport Step",37052,"2019","Automatic","Durham","Diesel",2000,24044,NA
"BMW","330e 3 SeriesM Sport Step",25139,"2020","Automatic","Hampshire","Hybrid",2000,20724,NA
"Mini","Cooper S Hatchback",34250,"2019","Manual","Leicestershire","Petrol",2000,12001,"Hatchback"
"Audi","e-tron 50 Technik quattro Charger)",25959,"2021","≈ 341 miles","Hampshire","Electric",0,18764,NA
"Mercedes","GLC220 GLC4Matic AMG Line 9G-Tronic",48244,"2020","Automatic","London","Diesel",2000,23127,NA
"BMW","X5",72177,"2021","Automatic","Northamptonshire","Hybrid",3000,36503,NA
"Kia","e-Niro 3",19754,"2021","≈ 455 miles","Hampshire","Electric",0,16350,NA
"Mazda","2",14488,"2021","Manual","Hampshire","Petrol",1500,11952,NA
"Land Rover","Range Rover Sport",33764,"2021","Automatic","West Yorkshire","Hybrid",2000,39988,NA
"Toyota","Corolla",18106,"2022","Automatic","Durham","Hybrid",1800,19023,"Touring"
"BMW","118 1 Series",19201,"2022","Manual","Hampshire","Petrol",1500,18289,NA
"Ford","Focus",12043,"2023","Manual","London","Hybrid",1000,17104,NA
"Citroën","C3 Aircross",25155,"2022","Manual","Manchester","Petrol",1200,11817,NA
"BMW","330e 3 Series",37424,"2020","Automatic","Northamptonshire","Hybrid",2000,18430,NA
"Kia","Sportage",26328,"2022","Manual","London","Petrol",1600,17368,NA
"BMW","330e 3 Series",23103,"2019","Automatic","Northamptonshire","Hybrid",2000,20031,NA
"Volvo","XC60",29673,"2023","Automatic","Northamptonshire","Hybrid",2000,32068,NA
"Land Rover","Discovery Sport",21254,"2022","Automatic","Durham","Hybrid",1500,29325,"Suv"
"Honda","Jazz",50613,"2019","Manual","Leicestershire","Petrol",1300,8813,NA
"Toyota","RAV4 Hybrid",42243,"2022","Automatic","Hampshire","Hybrid",2500,25188,NA
"Mini","Cooper Countryman",29345,"2021","Automatic","Leicestershire","Petrol",1500,18606,NA
"VW","T-Roc",38142,"2022","Automatic","Durham","Petrol",1500,19194,NA
"Kia","Niro",31042,"2022","Automatic","Manchester","Hybrid",1600,17595,NA
"VW","T-Roc",16159,"2020","Manual","Northamptonshire","Petrol",1000,16096,NA
"Volvo","XC60",37338,"2023","Automatic","London","Hybrid",2000,31032,NA
"Suzuki","SX4 S-Cross",14063,"2023","Manual","Shropshire","Hybrid",1400,15106,NA
"Mercedes","CLA220 Shooting Brake Cla Class",63230,"2016","Automatic","Hampshire","Diesel",2100,12519,"Shooting Brake"
"Volvo","XC40",40915,"2022","Automatic","Manchester","Hybrid",1500,22609,NA
"Kia","e-Niro 4+",23814,"2021","≈ 455 miles","Durham","Electric",0,18586,NA
"Toyota","RAV4 Hybrid",30372,"2021","Automatic","West Midlands","Hybrid",2500,22184,NA
"Mercedes","EQC400 Eqc AMG Line (Premium Plus) 4MATIC",26355,"2022","≈ 411 miles","Staffordshire","Electric",0,30635,NA
"BMW","330e 3 Series TouringM Sport Step",76259,"2021","Automatic","Northamptonshire","Hybrid",2000,16827,"Touring"
"Ford","Focus Estate",23718,"2020","Manual","Cambridgeshire","Diesel",1500,13400,"Estate"
"Citroën","C3 Aircross",39595,"2022","Automatic","Manchester","Petrol",1200,13370,NA
"Audi","RS5 RS5TFSI Quattro Tiptronic",19521,"2022","Automatic","London","Petrol",2900,45551,NA
"BMW","330e 3 SeriesM Sport Step",21928,"2020","Automatic","West Midlands","Hybrid",2000,21074,NA
"Alfa Romeo","Giulia",35940,"2018","Automatic","Staffordshire","Petrol",2000,19044,NA
"Fiat","500e Icon",8632,"2021","≈ 314 miles","Hampshire","Electric",0,12424,NA
"Tesla","Model 3 Standard Range Plus RWD",51540,"2021","≈ 448 miles","West Midlands","Electric",0,16257,NA
"BMW","X3 M Sport Step",47197,"2019","Automatic","Hampshire","Diesel",2000,22605,NA
"Audi","A5",25192,"2020","Automatic","Durham","Petrol",2000,18701,"Coupe"
"Mazda","CX-5",29007,"2023","Automatic","Merseyside","Petrol",2000,22033,NA
"Kia","e-Niro 3",29041,"2021","≈ 455 miles","West Yorkshire","Electric",0,16214,NA
"Audi","e-tron 50 Technik quattro",27006,"2020","≈ 341 miles","Shropshire","Electric",0,17991,NA
"DS Automobiles","DS4",10262,"2022","Automatic","Leicestershire","Hybrid",1600,19698,NA
"Audi","e-tron GT quattro quattro",24668,"2022","≈ 487 miles","West Yorkshire","Electric",0,41667,NA
"Abarth","595",69476,"2018","Manual","London","Petrol",1400,9537,NA
"Nissan","Juke",29087,"2023","Automatic","West Midlands","Hybrid",1600,15995,NA
"Audi","A5 40 TFSI 204 S Line S Tronic",34234,"2022","Automatic",NA,"Petrol",2000,25234,NA
"Tesla","Model Y (Dual Motor) Long Range 4WDE",17910,"2022","≈ 542 miles","Staffordshire","Electric",0,28690,NA
"Audi","A3",55870,"2016","Manual","Staffordshire","Diesel",1600,8986,NA
"Land Rover","Range Rover Sport",43554,"2021","Automatic","Hampshire","Hybrid",2000,36370,NA
"Citroën","C3",9912,"2024","Automatic","Hertfordshire","Petrol",1200,14644,NA
"Renault","Rafale E-Tech FHEV Techno Esprit Alpine 4C",4921,"2024","Automatic","Kent","Hybrid",1200,31195,NA
"Renault","Symbioz",431,"2024","Automatic","Kent","Hybrid",1600,26095,NA
"Renault","Arkana",19491,"2022","Automatic","Kent","Hybrid",1600,16795,NA
"Peugeot","2008",11520,"2022","Automatic",NA,"Petrol",1200,18731,NA
"Vauxhall","Astra",9171,"2023","Automatic","Norfolk","Petrol",1200,20309,NA
"VW","T6.1",9999,"2024","Manual","Northamptonshire","Diesel",2000,26275,"Van"
"DS Automobiles","DS7 Crossback",15,"2025","Automatic","Leicestershire","Diesel",1500,30774,NA
"DS Automobiles","DS7 Crossback",10,"2025","Automatic","Manchester","Diesel",1500,30585,NA
"DS Automobiles","DS7 Crossback",12,"2025","Automatic","Manchester","Diesel",1500,28703,NA
"DS Automobiles","DS7 Crossback",1,"2025","Automatic","Manchester","Diesel",1500,30449,NA
"DS Automobiles","DS7 Crossback",10,"2024","Automatic","London","Diesel",1500,27195,NA
"DS Automobiles","DS7 Crossback",10,"2025","Automatic","Leicestershire","Diesel",1500,31713,NA
"VW","Tiguan",52388,"2016","Automatic","Surrey","Diesel",2000,12466,NA
"Audi","Q2 35 TFSI Sport",39500,"2022","Manual","Tyne and Wear","Petrol",1500,19083,NA
"Audi","RS e-tron GT Carbon Vorsprung quattro Saloon",7995,"2022","≈ 472 miles","Lancashire","Electric",0,64950,"Saloon"
"Audi","e-tron GT quattro Quattro",27539,"2022","≈ 487 miles","Cheshire","Electric",0,42730,NA
"Audi","e-tron 50 S Line Suv Electric Quattro Charger 313 Ps",24163,"2021","≈ 341 miles","Suffolk","Electric",0,23195,"Suv"
"Audi","Q4 Sportback e-tron e-tron 45 S Line [Leather]",2188,"2024","≈ 539 miles",NA,"Electric",0,37598,"Sportback"
"Audi","Q4 Sportback e-tron e-tron 45 S Line [Leather]",2250,"2024","≈ 539 miles",NA,"Electric",0,36999,"Sportback"
"Kia","e-Niro 4+",22713,"2022","≈ 463 miles","Cambridgeshire","Electric",0,19895,NA
"Audi","Q4 Sportback e-tron e-tron 45 S Line [Leather]",783,"2024","≈ 539 miles","Hampshire","Electric",0,39653,"Sportback"
"Vauxhall","Mokka e Ultimate",16428,"2023","Automatic","Manchester","Electric",0,14858,NA
"Kia","e-Niro 2 Long Range",39167,"2022","≈ 463 miles","West Midlands","Electric",0,15670,NA
"BMW","iX M Sport",32511,"2022","≈ 425 miles","Lincolnshire","Electric",0,35295,NA
"Audi","Q4 Sportback e-tron e-tron 35 Sport",6710,"2023","≈ 361 miles","Surrey","Electric",0,26662,"Sportback"
"VW","ID.5 4motion GTX Style",8320,"2023","≈ 517 miles","Manchester","Electric",0,31195,NA
"Jaguar","I-Pace 400 S Suv Electric 4wd 400 Ps",42936,"2019","≈ 470 miles","London","Electric",0,15995,"Suv"
"Jaguar","I-Pace EV400 Black Charger]",23481,"2022","≈ 470 miles","Lincolnshire","Electric",0,26595,NA
"Vauxhall","Astra Ultimate",1487,"2023","Automatic","West Midlands","Electric",0,25000,NA
"Vauxhall","Astra GS",3306,"2023","Automatic","West Midlands","Electric",0,22495,NA
"Abarth","500e Turismo",2633,"2023","≈ 255 miles","London","Electric",0,21966,NA
"Peugeot","e-208 Allure",15872,"2020","≈ 362 miles","Manchester","Electric",0,12450,NA
"Nissan","Leaf e+ N-TEC",27000,"2020","≈ 385 miles","London","Electric",0,12059,NA
"Seat","Leon ST",53236,"2020","Manual","Durham","Petrol",1500,10000,NA
"Audi","Q7 45 TDI Quattro S Line Tiptronic",31186,"2022","Automatic",NA,"Diesel",3000,42466,NA
"Audi","Q7 45 TDI Quattro S Line Tiptronic",31500,"2021","Automatic",NA,"Diesel",3000,39700,NA
"Peugeot","508",54533,"2021","Automatic","Manchester","Hybrid",1600,14630,NA
"Audi","A3 e-tron 40 TFSI e Sport S Tronic",37917,"2022","Automatic","Cheshire","Hybrid",1400,18930,NA
"Audi","A3 e-tron 40 TFSI e Sport S Tronic",22579,"2022","Automatic",NA,"Hybrid",1400,20557,NA
"Citroën","C5 X",10,"2023","Automatic","Manchester","Hybrid",1600,23449,NA
"VW","T-Roc",24433,"2021","Automatic","Delivered to you","Petrol",2000,20901,NA
"Audi","A3 30 TDI 116 SE Technik",32750,"2020","Manual","Cheshire","Diesel",1600,14290,NA
"Kia","Sportage",6826,"2023","Automatic","South Yorkshire","Petrol",1600,28047,NA
"Nissan","Qashqai",20087,"2022","Manual","Derbyshire","Hybrid",1300,15395,"Suv"
"VW","Polo",2989,"2024","Manual","Cheshire","Petrol",1000,17491,NA
"Mazda","CX-5 Estate",33130,"2023","Manual","Surrey","Petrol",2000,19999,"Estate"
"Audi","A7 40 TDI Quattro S Line S Tronic",20998,"2022","Automatic","Cheshire","Diesel",2000,31630,NA
"Audi","A5 Sportback 35 TDI Sport S Tronic",21511,"2021","Automatic",NA,"Diesel",2000,24256,"Sportback"
"Toyota","Yaris Cross",39879,"2022","Automatic",NA,"Hybrid",1500,19995,NA
"Audi","Q3 40 TFSI Quattro Sport S Tronic",53228,"2019","Automatic","Cheshire","Petrol",2000,19990,NA
"Audi","Q5 45 TFSI Quattro S Line S Tronic",9121,"2023","Automatic","Staffordshire","Petrol",2000,35980,NA
"Audi","SQ7 SQ7TFSI Quattro Black Ed Tiptronic",8954,"2024","Automatic","Staffordshire","Petrol",4000,72890,NA
"Audi","Q3 35 TFSI Sport S Tronic",4000,"2024","Automatic","Essex","Petrol",1500,32495,NA
"Audi","SQ7 SQ7TFSI Quattro Black Ed Tiptronic",8490,"2024","Automatic","Staffordshire","Petrol",4000,69950,NA
"Audi","RS Q8 Vorsprung 600 PS tiptronic",41254,"2021","Automatic","Staffordshire","Petrol",4000,74490,NA
"Audi","Q7 55 TFSI Quattro Black Edition Tiptronic",45612,"2022","Automatic","Cheshire","Petrol",3000,42350,NA
"Audi","Q3 35 TFSI Sport S Tronic",22746,"2022","Automatic","Hertfordshire","Petrol",1500,25695,NA
"Audi","Q3",80106,"2018","Automatic","Kent","Petrol",2000,13990,NA
"Peugeot","3008",11746,"2024","Automatic","West Midlands","Petrol",1200,20897,NA
"Audi","A3 e-tron 40 TFSI e S Line S Tronic",4498,"2024","Automatic","Cheshire","Hybrid",1400,25990,NA
"Audi","A3 e-tron 40 TFSI e Sport S Tronic",2771,"2024","Automatic","Cheshire","Hybrid",1400,24990,NA
"Kia","e-Niro 2 Long Range",28000,"2021","≈ 463 miles","Delivered to you","Electric",0,15350,NA
"Seat","Tarraco",68574,"2019","Automatic","Lancashire","Diesel",2000,17220,NA
"Audi","A6 Avant 50 TFSI e Quattro Sport S Tronic",119,"2024","Automatic","Cheshire","Petrol",2000,39200,"Van"
"Land Rover","Range Rover Sport",39000,"2021","Automatic","Kent","Petrol",3000,39990,NA
"Skoda","Karoq",5102,"2024","Automatic","Essex","Petrol",1500,24970,NA
"Land Rover","Range Rover Sport",22236,"2022","Automatic","Kent","Petrol",3000,45990,NA
"Audi","SQ7 SQ7TFSI Quattro Black Edition Tiptronic",35223,"2022","Automatic","Hertfordshire","Petrol",4000,54995,NA
"VW","Touareg",34415,"2022","Automatic","Kent","Petrol",3000,39990,NA
"VW","Touareg",34698,"2022","Automatic","Kent","Petrol",3000,39990,NA
"VW","Touareg",18111,"2022","Automatic","Kent","Petrol",3000,42250,NA
"VW","Touareg",29944,"2022","Automatic","Kent","Petrol",3000,41250,NA
"Land Rover","Range Rover Sport",23848,"2021","Automatic","Kent","Hybrid",2000,41990,NA
"Citroën","C4 SpaceTourer Estate",52611,"2020","Manual","Devon","Diesel",1500,13649,"Estate"
"Bentley","Bentayga Mulliner Estate",12228,"2021","Automatic","Kent","Hybrid",3000,125995,"Estate"
"VW","Polo",6486,"2024","Manual","Cheshire","Petrol",1000,16991,NA
"VW","Caddy",9202,"2023","Manual","London","Diesel",2000,17250,"Van"
"Peugeot","3008",34136,"2021","Manual","Oxfordshire","Petrol",1200,15990,NA
"Honda","Jazz",11201,"2022","Automatic","Delivered to you","Hybrid",1500,16544,NA
"Audi","A5 40 TFSI 204 S Line S Tronic",13000,"2022","Automatic","London","Petrol",2000,26795,NA
"Porsche","911 PDK",600,"2023","Automatic","Kent","Petrol",3000,93990,NA
"Audi","A5 Sportback 35 TFSI S Line S Tronic",20440,"2019","Automatic","Hertfordshire","Petrol",2000,21495,"Sportback"
"Audi","A3",56000,"2018","Automatic","Cheshire","Petrol",1500,13990,NA
"Land Rover","Discovery 5 SUV",40000,"2019","Automatic","Wiltshire","Diesel",3000,32800,"Suv"
"Land Rover","Defender Estate",9051,"2023","Automatic","Hertfordshire","Diesel",3000,57000,"Estate"
"VW","Tiguan",30169,"2021","Manual","North Yorkshire","Diesel",2000,19854,"Estate"
"VW","Tiguan",16800,"2022","Manual","Cheshire","Petrol",1500,20999,NA
"Audi","Q3 35 TFSI Sport",26135,"2022","Manual","Suffolk","Petrol",1500,23790,NA
"Audi","Q3 35 TFSI Sport",25696,"2022","Manual","Wiltshire","Petrol",1500,24095,NA
"Kia","Sportage",34928,"2018","Manual","London","Diesel",1600,11500,NA
"Nissan","Qashqai",13438,"2021","Automatic","Lancashire","Petrol",1300,17849,NA
"Hyundai","Tucson",57422,"2019","Manual","London","Petrol",1600,12013,NA
"Renault","Kadjar",30220,"2019","Manual","London","Petrol",1300,10495,NA
"Ford","Focus",26401,"2020","Manual","Delivered to you","Petrol",1000,12308,NA
"Jaguar","I-Pace EV400 HSE Black Charger",31000,"2022","≈ 470 miles","Delivered to you","Electric",0,25995,NA
"Audi","Q3 35 TFSI Technik S Tronic",25950,"2022","Automatic","Delivered to you","Petrol",1500,25900,NA
"Ford","Fiesta",9580,"2021","Manual","Delivered to you","Petrol",1000,12243,NA
"Ford","Focus ST",36215,"2019","Manual","Delivered to you","Petrol",2300,18421,NA
"Audi","A3 35 TFSI Sport - 2024 (73)",11760,"2024","Manual","Cheshire","Petrol",1500,21695,NA
"Audi","A1 30 TFSI Technik S Tronic - 2020 (69)",23672,"2020","Automatic","London","Petrol",1000,17395,NA
"Audi","A3 Saloon 35 TFSI Sport S Tronic",5598,"2023","Automatic","Cheshire","Petrol",1500,23990,"Saloon"
"Skoda","Fabia Hatchback",80211,"2021","Manual","Oxfordshire","Petrol",1000,7995,"Hatchback"
"Vauxhall","Corsa Hatchback (2021/70)SE",21644,"2021","Manual","London","Petrol",1200,10400,"Hatchback"
"Audi","SQ2 SQ2Quattro S Tronic",28200,"2021","Automatic","Hertfordshire","Petrol",2000,24999,NA
"Nissan","Micra",13824,"2022","Manual","Manchester","Petrol",1000,10311,NA
"VW","Polo",8,"2024","Automatic","Essex","Petrol",1000,20988,"Hatchback"
"VW","Taigo",4,"2024","Automatic","Essex","Petrol",1000,23990,NA
"VW","Taigo",7,"2024","Automatic","Essex","Petrol",1000,20894,NA
"Skoda","Kamiq",12387,"2022","Automatic","Oxfordshire","Petrol",1500,18290,"Suv"
"Kia","Picanto",6725,"2023","Manual","West Yorkshire","Petrol",1000,10495,"Hatchback"
"VW","Golf VIII",39168,"2022","Manual","Cambridgeshire","Petrol",1500,16530,NA
"Nissan","Juke",20376,"2021","Manual","Cheshire","Petrol",1000,12990,NA
"BMW","X5 M Sport",13335,"2023","Automatic","Tyne and Wear","Hybrid",3000,65765,NA
"Hyundai","Tucson",24941,"2022","Automatic",NA,"Hybrid",1600,22995,"Estate"
"Dacia","Sandero",16976,"2023","Manual","Devon","Petrol",1000,11995,"Hatchback"
"Toyota","Yaris Hybrid",39834,"2019","Automatic","South Yorkshire","Hybrid",1500,12188,"Hatchback"
"Seat","Ibiza",17396,"2022","Manual","Durham","Petrol",1000,12749,"Hatchback"
"Dacia","Duster",20728,"2017","Manual","Derbyshire","Petrol",1600,8000,"Estate"
"Audi","A3 Saloon 35 TFSI Sport S Tronic",13026,"2023","Automatic","Cheshire","Petrol",1500,23350,"Saloon"
"Audi","A4 35 TFSI Black Edition S Tronic - 2024 (74)",1053,"2024","Automatic","Cheshire","Petrol",2000,28990,NA
"Hyundai","Tucson",21299,"2022","Automatic","Derbyshire","Hybrid",1600,22918,"Estate"
"MG","MG4 EV Trophy EV Long Range",10919,"2023","≈ 450 miles","Cumbria","Electric",0,17999,NA
"Peugeot","2008",36486,"2015","Manual","South Yorkshire","Petrol",1200,6311,"Estate"
"VW","ID.7 Match Pro",5044,"2024","Automatic","Wiltshire","Electric",0,38750,NA
"BMW","i5 M Sport Electric Saloon",777,"2023","≈ 582 miles","Somerset","Electric",0,43776,"Saloon"
"Tesla","Model 3 Standard Plus",41265,"2021","≈ 448 miles","Lancashire","Electric",0,17000,NA
"Tesla","Model 3 Long Range AWD",22000,"2020","≈ 678 miles","Lincolnshire","Electric",0,20197,NA
"Audi","Q7 50 TDI Quattro S Line Tiptronic",28250,"2019","Automatic","London","Diesel",3000,34295,NA
"Audi","Q7 50 TDI Quattro Black Edition Tiptronic",23368,"2022","Automatic","Hertfordshire","Diesel",3000,47695,NA
"Vauxhall","Grandland X Hatchback",21489,"2022","Manual","Oxfordshire","Diesel",1500,15495,"Hatchback"
"Land Rover","Range Rover Sport",38344,"2020","Automatic","Kent","Diesel",3000,39490,NA
"Audi","Q7 45 TDI Quattro S Line Tiptronic",20000,"2023","Automatic","Cheshire","Diesel",3000,46695,NA
"Audi","Q3 35 TDI Sport S Tronic",35370,"2022","Automatic","Hertfordshire","Diesel",2000,23795,NA
"Land Rover","Range Rover Sport",34453,"2022","Automatic","Kent","Diesel",3000,48990,NA
"Jaguar","E-Pace",33633,"2019","Automatic","West Yorkshire","Diesel",2000,17765,NA
"Ford","Puma",10687,"2023","Manual","Wiltshire","Hybrid",1000,15995,NA
"VW","Passat Estate",69387,"2017","Automatic","South Yorkshire","Diesel",2000,11883,"Estate"
"Audi","A4 Avant 30 TDI Technik S Tronic",61008,"2020","Automatic","Suffolk","Diesel",2000,17123,"Van"
"BMW","i5 M Sport Electric Saloon",9512,"2023","≈ 560 miles","Tyne and Wear","Electric",0,39998,"Saloon"
"Kia","Sportage",18511,"2019","Manual","London","Diesel",1600,15347,NA
"Audi","TT",20696,"2018","Manual","Essex","Diesel",2000,17745,NA
"Ford","Puma",16738,"2022","Manual","Devon","Hybrid",1000,15000,NA
"Audi","Q2 Sport 30 TDI 116 PS 6-speed",21342,"2019","Manual","London","Diesel",1600,14990,NA
"Skoda","Karoq",24450,"2021","Automatic","Essex","Petrol",1500,18970,NA
"Nissan","Qashqai Hatchback",34361,"2020","Manual","Oxfordshire","Petrol",1300,13499,"Hatchback"
"Nissan","Juke",21381,"2022","Manual","Manchester","Petrol",1000,12799,NA
"VW","Golf VIII",19148,"2023","Manual","West Yorkshire","Petrol",1500,18500,NA
"Audi","A4 40 TFSI 204 Black Edition S Tronic - 2024 (74)",1031,"2024","Automatic","Cheshire","Petrol",2000,32990,NA
"Audi","RS6 RS6TFSI Quattro Vorsprung Tiptronic - 2021 (21)",17678,"2021","Automatic","Hertfordshire","Petrol",4000,77495,NA
"BMW","M440 4 Series Convertible i MHT Step",11289,"2022","Automatic","Essex","Hybrid",3000,36995,"Convertible"
"Volvo","XC90",76433,"2016","Automatic","Manchester","Hybrid",2000,23975,NA
"Skoda","Enyaq iV 60 ecoSuite",30089,"2022","≈ 408 miles","Oxfordshire","Electric",0,18590,NA
"BMW","iX M Sport Electric Estate",21265,"2022","≈ 630 miles","Tyne and Wear","Electric",0,49388,"Estate"
"VW","Golf VII",62758,"2017","Manual","North Yorkshire","Diesel",2000,10995,"Hatchback"
"Audi","SQ2 SQ2Quattro S Tronic",10305,"2023","Automatic","Delivered to you","Petrol",2000,33400,NA
"Ford","Focus",15883,"2022","Manual","Delivered to you","Hybrid",1000,14978,NA
"Citroën","C1 1",10496,"2019","Manual","Kent","Petrol",1000,7694,"Hatchback"
"BMW","330e 3 Sport Step",14530,"2024","Automatic","Somerset","Hybrid",2000,29085,NA
"BMW","520 5 Series i M Sport Pro",8230,"2024","Automatic","Tyne and Wear","Hybrid",2000,39875,NA
"Hyundai","Tucson n",51985,"2021","Manual","Oxfordshire","Diesel",1600,13811,"Suv"
"Audi","A1 35 TFSI S Line S Tronic",53000,"2020","Automatic","Essex","Petrol",1500,16995,NA
"Audi","A3 35 TFSI Sport S Tronic",22168,"2022","Automatic","Suffolk","Petrol",1500,21296,NA
"Skoda","Kodiaq SE L (7 seats)",49199,"2019","Automatic","London","Petrol",1500,18342,NA
"Nissan","Qashqai",32933,"2022","Automatic","Lancashire","Hybrid",1300,17849,NA
"Peugeot","208",50,"2024","Automatic","Lincolnshire","Hybrid",1200,19295,NA
"Kia","Niro",16658,"2022","Automatic","Lincolnshire","Electric/Petrol",1600,17500,NA
"Ford","Puma",14745,"2023","Manual","Tyne and Wear","Hybrid",1000,16491,NA
"Nissan","Qashqai",47674,"2021","Manual","Derbyshire","Hybrid",1300,13605,NA
"Volvo","XC60 Momentum B5",16302,"2021","Automatic","East Yorkshire","Hybrid",2000,26890,NA
"Volvo","V60 Momentum B3",28998,"2022","Automatic","Cheshire","Hybrid",2000,22500,NA
"Audi","A1 35 TFSI Sport S Tronic",27166,"2021","Automatic","Gloucestershire","Petrol",1500,18950,NA
"Polestar","2 Long Range DM [Plus] 4WD",33332,"2022","≈ 591 miles","Lancashire","Electric",0,23049,NA
"Audi","A3",61587,"2018","Automatic",NA,"Petrol",1500,13250,NA
"Audi","TT 40 TFSI Sport S Tronic",14436,"2022","Automatic","Gloucestershire","Petrol",2000,24950,NA
"Dacia","Duster",17930,"2022","Manual",NA,"Petrol",1000,12015,NA
"Audi","A3 e-tron 40 TFSI e Sport S Tronic",21982,"2022","Automatic","Gloucestershire","Hybrid",1400,20950,NA
"Dacia","Sandero Stepway",18026,"2024","Manual","London","Petrol",1000,13390,NA
"Ford","Ranger Pick Up Double Cab Wildtrak",58573,"2018","Automatic","Wiltshire","Diesel",3200,17991,"Pick Up"
"Land Rover","Range Rover Velar",60000,"2021","Automatic","Essex","Diesel",2000,27750,NA
"Toyota","Corolla Touring Sport",9655,"2024","Automatic","Kent","Hybrid",1800,23945,"Touring"
"Jaguar","F-Pace",48349,"2021","Automatic","Essex","Diesel",2000,28000,NA
"Toyota","Corolla",7778,"2024","Automatic","London","Hybrid",1800,22666,NA
"BMW","X3 xLine Step",28622,"2020","Automatic","Essex","Petrol",2000,25500,NA
"Toyota","Corolla",4579,"2023","Automatic","Kent","Hybrid",1800,21450,NA
"Mercedes","E53 AMG E-Class Coupe4Matic+ Night Ed Premium Plus TCT",27187,"2022","Automatic","Essex","Hybrid",3000,45000,"Coupe"
"Tesla","Model 3 Performance AWD [Performance Upgrade]",29918,"2020","≈ 530 miles","London","Electric",0,21704,NA
"Toyota","Yaris Hybrid",9889,"2023","Automatic","West Midlands","Hybrid",1500,16764,NA
"Toyota","Corolla",8002,"2024","Automatic","London","Hybrid",1800,22525,NA
"Toyota","Yaris Hybrid",14383,"2023","Automatic","West Midlands","Hybrid",1500,16433,NA
"Land Rover","Discovery 5",27097,"2022","Automatic","Essex","Diesel",3000,43500,NA
"Toyota","Yaris Hybrid",6000,"2021","Automatic","Bedfordshire","Hybrid",1500,15960,NA
"Land Rover","Range Rover evoque",28622,"2021","Automatic","Essex","Diesel",2000,23000,NA
"Mercedes","A180 A-ClassSport Executive",28232,"2023","Automatic","Essex","Hybrid",1300,20800,NA
"Ford","Puma",15766,"2023","Automatic","London","Hybrid",1000,18495,NA
"Toyota","Corolla",7854,"2023","Automatic","Kent","Hybrid",1800,21407,NA
"Vauxhall","Grandland X",43751,"2021","Manual","Durham","Petrol",1200,11995,NA
"Audi","Q3 35 TFSI Sport S Tronic",29342,"2021","Automatic","Essex","Petrol",1500,22350,NA
"Toyota","Corolla Touring Sport",24878,"2023","Automatic","Essex","Hybrid",1800,21240,"Touring"
"Vauxhall","Mokka",22000,"2022","Manual","Bedfordshire","Petrol",1200,14935,NA
"Audi","A3 30 TFSI Technik S Tronic",19174,"2023","Automatic","London","Petrol",1000,20249,NA
"Toyota","Yaris Cross",15222,"2022","Automatic","London","Hybrid",1500,20095,NA
"Seat","Arona",31141,"2022","Automatic",NA,"Petrol",1000,15049,NA
"Peugeot","2008",3175,"2024","Automatic","Lancashire","Petrol",1200,21049,NA
"Peugeot","2008",3318,"2024","Automatic","Lancashire","Petrol",1200,21049,NA
"Nissan","Qashqai",31721,"2022","Manual",NA,"Hybrid",1300,15849,NA
"Nissan","Qashqai",29101,"2021","Automatic","London","Petrol",1300,14949,NA
"Kia","Sportage",39197,"2022","Manual","South Yorkshire","Petrol",1600,15249,NA
"BMW","530e 5 Series TouringM Sport",40409,"2021","Automatic","West Midlands","Hybrid",2000,25049,"Touring"
"Skoda","Octavia Estate",40940,"2019","Manual","Derbyshire","Petrol",2000,17049,"Estate"
"Hyundai","Tucson",11275,"2024","Automatic",NA,"Hybrid",1600,26649,NA
"Audi","A5 40 TDI 204 Quattro S Line S Tronic",16925,"2023","Automatic","West Midlands","Diesel",2000,30549,NA
"Nissan","Qashqai",29562,"2021","Automatic",NA,"Hybrid",1300,18049,NA
"Nissan","Qashqai",26765,"2022","Manual","London","Hybrid",1300,16149,NA
"Nissan","Qashqai",27907,"2021","Automatic","Derbyshire","Hybrid",1300,16849,NA
"VW","Polo",3434,"2024","Manual","West Midlands","Petrol",1000,17349,NA
"Audi","A4 35 TFSI S Line",33951,"2021","Automatic","London","Petrol",2000,19049,NA
"Hyundai","Tucson",9996,"2024","Automatic",NA,"Hybrid",1600,26749,NA
"Ford","Focus",18757,"2022","Manual","Derbyshire","Diesel",1500,15449,NA
"Kia","Sportage",17621,"2024","Automatic","West Midlands","Diesel",1600,28049,NA
"Nissan","Qashqai",36799,"2020","Automatic",NA,"Petrol",1300,13949,NA
"Kia","Niro",21543,"2022","Automatic","Cambridgeshire","Electric/Petrol",1600,16349,NA
"VW","Polo",957,"2024","Manual","Norfolk","Petrol",1000,18049,NA
