"Car_Brand","Car_Model","Year","Car_Type","Price_in_GBP","Mileage_in_miles","Transmission","Fuel","Engine_Size_in_cc"
"Citroën","C5 Aircross",2021,"Suv",14499,25549,"Manual","Petrol",1200
"Audi","A4 Avant",2022,"Van",23022,25615,"Automatic","Petrol",2000
"BMW","330e 3 Series TouringM Sport Step",2024,"Touring",33534,11356,"Automatic","Hybrid",2000
"Ford","Focus Estate",2024,"Estate",17897,23832,"Manual","Hybrid",1000
"BMW","X5 M X5 M Step Petrol Estate",2023,"Estate",78313,17540,"Automatic","Petrol",4400
"Renault","Arkana",2022,"Estate",16682,15454,"Automatic","Hybrid",1300
"Audi","A6 Saloon",2017,"Saloon",12681,67446,"Automatic","Diesel",2000
"Hyundai","Tucson",2022,"Estate",22570,17982,"Automatic","Hybrid",1600
"Audi","A5 Sportback",2018,"Sportback",15900,42542,"Manual","Petrol",2000
"Audi","A4 Avant 35 TDI Technik S Tronic",2022,"Van",23394,19095,"Automatic","Diesel",2000
"Mercedes","E220 E-Class",2021,"Coupe",24357,46535,"Automatic","Diesel",2000
"Mercedes","C200 C-Class CoupeAMG Line Edition 9G-Tronic",2021,"Coupe",21809,18678,"Automatic","Hybrid",1500
"Ford","Focus",2018,"Hatchback",6755,67948,"Manual","Petrol",1000
"Land Rover","Range Rover Sport",2022,"Estate",73620,18144,"Automatic","Hybrid",3000
"Tesla","Model Y SUV RWD",2023,"Suv",25610,35679,"Automatic","Electric",0
"BMW","X3 xLine Step Diesel Estate",2017,"Estate",13770,75308,"Automatic","Diesel",2000
"Ford","Focus",2021,"Hatchback",13750,33945,"Manual","Hybrid",1000
"Jaguar","F-Type",2021,"Convertible",34151,17005,"Automatic","Petrol",2000
"Mercedes","A180 A-ClassSport Diesel Hatchback",2017,"Hatchback",12714,43749,"Automatic","Diesel",1500
"Honda","Jazz",2023,"Hatchback",16715,8440,"Automatic","Hybrid",1500
"Nissan","Leaf N-Connecta Electric Hatchback",2021,"Hatchback",10803,13572,"Automatic","Electric",0
"Ford","Focus",2022,"Hatchback",15605,19935,"Automatic","Petrol",1000
"Dacia","Sandero",2023,"Hatchback",13138,2200,"Manual","Petrol",1000
"Nissan","Qashqai",2019,"Hatchback",11394,43187,"Manual","Petrol",1300
"Ford","Puma",2023,"Suv",17450,3070,"Manual","Hybrid",1000
"BMW","840 8 Series Gran Coupe",2021,"Coupe",32815,32888,"Automatic","Petrol",3000
"Audi","A3 Saloon 35 TFSI Sport",2022,"Saloon",20950,13549,"Manual","Petrol",1500
"Skoda","Enyaq iV 60 ecoSuite SUV",2022,"Suv",18828,26001,"Automatic","Electric",0
"Renault","Arkana",2024,"Estate",19712,11986,"Automatic","Hybrid",1600
"Toyota","Corolla Touring Sport",2022,"Touring",20820,21663,"Automatic","Hybrid",2000
"Peugeot","208",2024,"Hatchback",17974,10,"Manual","Petrol",1200
"Ford","Focus",2021,"Hatchback",13005,40684,"Manual","Hybrid",1000
"Kia","Sportage",2022,"Suv",23889,38643,"Automatic","Petrol",1600
"Skoda","Karoq",2020,"Estate",17835,9102,"Automatic","Petrol",1500
"Mercedes","C220 C-ClassSE 9G-Tronic Diesel Saloon",2019,"Saloon",16159,42540,"Automatic","Diesel",2000
"Ford","Mustang Mach-E Extended Range AWD Electric Estate",2021,"Estate",25655,30400,"Automatic","Electric",0
"Audi","Q3 35 TFSI Sport SUV",2021,"Suv",20996,25117,"Manual","Petrol",1500
"Jeep","Compass",2022,"Estate",18850,31749,"Automatic","Hybrid",1300
"Skoda","Karoq",2021,"Estate",15795,50978,"Automatic","Petrol",1500
"VW","T6.1",2021,"Van",23460,33956,"Manual","Diesel",2000
"Audi","e-tron Sportback 55 Quattro Launch Edition",2020,"Sportback",26697,43294,"Automatic","Electric",0
"Ford","Mustang GT",2018,"Coupe",29587,21793,"Automatic","Petrol",5000
"Kia","e-Niro 4 Electric Estate",2020,"Estate",15156,39193,"Automatic","Electric",0
